,fractional_snow_B0_min,fractional_snow_B0_max,fractional_snow_B0_mean,fractional_snow_B0_stDev,fractional_snow_B0_sampleCount,fractional_snow_B0_noDataCount,interval_from,interval_to,identifier
0,0.0,1.0,0.37747728534676395,0.4847557987213795,1437780,917301,2017-11-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,Kärnten
1,0.0,1.0,0.823326335432705,0.38139229254883805,1437780,1373475,2017-12-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,Kärnten
2,0.0,1.0,0.7421579879876566,0.4374465782855889,1437780,1258298,2018-01-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,Kärnten
3,0.0,1.0,0.8822556022330967,0.32230521956899333,1437780,1258298,2018-02-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,Kärnten
4,0.0,1.0,0.9067568618303422,0.29077285869546743,1437780,1373475,2018-03-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,Kärnten
5,0.0,1.0,0.6137272818444,0.4868943472297411,1437780,1258298,2018-04-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,Kärnten
6,0.0,1.0,0.41342307306582343,0.49244739386317443,1437780,1258298,2018-05-01 00:00:00+00:00,2018-06-01 00:00:00+00:00,Kärnten
0,0.0,1.0,0.7364266031131422,0.440570608802249,2639168,2115515,2017-12-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,Tirol
1,0.0,1.0,0.7013544627963273,0.4576640474321792,2639168,2468916,2018-01-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,Tirol
2,0.0,1.0,0.8817341352818039,0.32292266870048564,2639168,2468916,2018-02-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,Tirol
3,0.0,1.0,0.7687788855317038,0.4216134612323658,2639168,2544181,2018-03-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,Tirol
4,0.0,1.0,0.6936542669584248,0.46097508055077696,2639168,2638711,2018-04-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,Tirol
0,0.0,0.0,0.0,0.0,69434,34730,2017-11-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,Wien
1,0.0,1.0,0.17007970102581801,0.375702803189948,69434,43211,2017-12-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,Wien
2,0.0,1.0,0.001471012402653588,0.03832555968495221,69434,34764,2018-01-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,Wien
3,0.0,1.0,0.015283236076376433,0.12267705071206365,69434,44243,2018-02-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,Wien
