,class,count,sum,aspect,elevation_below,year_month,season,percent_snow_cover,km2_snow,km2_all,year,month
0,180_3000,11089,3911,180,3000,2017-08,2017,0.3526918567950221,39.11000000000001,110.89000000000001,2017,08
1,45_2500,26276,4062,45,2500,2017-08,2017,0.15458973968640585,40.620000000000005,262.76000000000005,2017,08
2,0_2500,26644,3317,0,2500,2017-08,2017,0.12449331932142321,33.17000000000001,266.44000000000005,2017,08
3,180_1500,60409,5,180,1500,2017-08,2017,8.27691238060554e-05,0.05000000000000001,604.0900000000001,2017,08
4,135_2000,35129,192,135,2000,2017-08,2017,0.005465569757180677,1.9200000000000004,351.2900000000001,2017,08
5,0_4000,20,18,0,4000,2017-08,2017,0.9,0.18000000000000005,0.20000000000000004,2017,08
6,225_3000,12675,3142,225,3000,2017-08,2017,0.24788954635108482,31.420000000000005,126.75000000000003,2017,08
7,315_4000,25,23,315,4000,2017-08,2017,0.92,0.23000000000000004,0.25000000000000006,2017,08
8,135_4500,0,0,135,4500,2017-08,2017,,0.0,0.0,2017,08
9,90_4500,0,0,90,4500,2017-08,2017,,0.0,0.0,2017,08
10,225_1500,46051,4,225,1500,2017-08,2017,8.686022019065818e-05,0.04000000000000001,460.5100000000001,2017,08
11,90_2000,34105,268,90,2000,2017-08,2017,0.007858085324732443,2.6800000000000006,341.05000000000007,2017,08
12,270_2500,30397,1371,270,2500,2017-08,2017,0.0451031351778136,13.710000000000003,303.9700000000001,2017,08
13,315_2500,30520,1912,315,2500,2017-08,2017,0.06264744429882045,19.120000000000005,305.20000000000005,2017,08
14,45_3000,14562,4413,45,3000,2017-08,2017,0.30304903172641123,44.13000000000001,145.62000000000003,2017,08
15,270_4000,15,13,270,4000,2017-08,2017,0.8666666666666667,0.13000000000000003,0.15000000000000002,2017,08
16,180_4000,14,9,180,4000,2017-08,2017,0.6428571428571429,0.09000000000000002,0.14,2017,08
17,45_1500,51376,10,45,1500,2017-08,2017,0.00019464341326689506,0.10000000000000002,513.7600000000001,2017,08
18,180_2500,23532,4238,180,2500,2017-08,2017,0.1800951895291518,42.38000000000001,235.32000000000005,2017,08
19,135_1500,59707,0,135,1500,2017-08,2017,0.0,0.0,597.0700000000002,2017,08
20,0_3500,3387,2635,0,3500,2017-08,2017,0.7779746087983466,26.350000000000005,33.870000000000005,2017,08
