,class,count,sum,aspect,elevation_below,year,state,percent_snow_cover,km2_snow,km2_all
0,225_1700,4828,0,225,1700,2018,Kärnten,0.0,0.0,48.28000000000001
1,45_2500,1023,0,45,2500,2018,Kärnten,0.0,0.0,10.230000000000002
2,180_3400,8,0,180,3400,2018,Kärnten,0.0,0.0,0.08000000000000002
3,135_2600,1219,0,135,2600,2018,Kärnten,0.0,0.0,12.190000000000003
4,0_2900,180,8,0,2900,2018,Kärnten,0.044444444444444446,0.08000000000000002,1.8000000000000003
5,180_1900,3965,0,180,1900,2018,Kärnten,0.0,0.0,39.650000000000006
6,0_2100,2294,0,0,2100,2018,Kärnten,0.0,0.0,22.940000000000005
7,90_2200,1969,0,90,2200,2018,Kärnten,0.0,0.0,19.690000000000005
8,90_4500,0,0,90,4500,2018,Kärnten,,0.0,0.0
9,315_2300,1413,0,315,2300,2018,Kärnten,0.0,0.0,14.130000000000003
10,270_2500,1068,1,270,2500,2018,Kärnten,0.0009363295880149813,0.010000000000000002,10.680000000000001
11,225_3200,91,38,225,3200,2018,Kärnten,0.4175824175824176,0.38000000000000006,0.9100000000000001
12,270_4000,0,0,270,4000,2018,Kärnten,,0.0,0.0
13,225_2900,395,20,225,2900,2018,Kärnten,0.05063291139240506,0.20000000000000004,3.9500000000000006
14,180_2300,2245,0,180,2300,2018,Kärnten,0.0,0.0,22.450000000000003
15,45_3600,8,0,45,3600,2018,Kärnten,0.0,0.0,0.08000000000000002
16,135_1500,84793,0,135,1500,2018,Kärnten,0.0,0.0,847.9300000000002
17,135_3800,0,0,135,3800,2018,Kärnten,,0.0,0.0
18,0_1800,3819,0,0,1800,2018,Kärnten,0.0,0.0,38.190000000000005
19,90_1900,3435,0,90,1900,2018,Kärnten,0.0,0.0,34.35000000000001
20,135_3000,309,134,135,3000,2018,Kärnten,0.4336569579288026,1.3400000000000003,3.0900000000000007
21,0_3300,37,9,0,3300,2018,Kärnten,0.24324324324324326,0.09000000000000002,0.37000000000000005
22,270_3700,1,0,270,3700,2018,Kärnten,0.0,0.0,0.010000000000000002
23,90_3400,15,8,90,3400,2018,Kärnten,0.5333333333333333,0.08000000000000002,0.15000000000000002
24,315_3500,0,0,315,3500,2018,Kärnten,,0.0,0.0
25,225_2100,2705,0,225,2100,2018,Kärnten,0.0,0.0,27.050000000000004
26,225_3900,0,0,225,3900,2018,Kärnten,,0.0,0.0
27,45_2400,1290,0,45,2400,2018,Kärnten,0.0,0.0,12.900000000000002
28,180_3300,36,7,180,3300,2018,Kärnten,0.19444444444444445,0.07,0.3600000000000001
29,180_1800,4488,0,180,1800,2018,Kärnten,0.0,0.0,44.88000000000001
30,0_2800,328,13,0,2800,2018,Kärnten,0.039634146341463415,0.13000000000000003,3.2800000000000007
31,135_4000,0,0,135,4000,2018,Kärnten,,0.0,0.0
32,135_2500,1495,2,135,2500,2018,Kärnten,0.0013377926421404682,0.020000000000000004,14.950000000000003
33,0_2000,2795,0,0,2000,2018,Kärnten,0.0,0.0,27.950000000000006
34,90_2300,1781,5,90,2300,2018,Kärnten,0.002807411566535654,0.05000000000000001,17.810000000000002
35,315_2200,1699,0,315,2200,2018,Kärnten,0.0,0.0,16.990000000000002
36,315_4500,0,0,315,4500,2018,Kärnten,,0.0,0.0
37,270_2400,1152,0,270,2400,2018,Kärnten,0.0,0.0,11.520000000000003
38,225_1600,5267,0,225,1600,2018,Kärnten,0.0,0.0,52.67000000000001
39,225_3100,165,58,225,3100,2018,Kärnten,0.3515151515151515,0.5800000000000001,1.6500000000000004
40,225_2800,635,5,225,2800,2018,Kärnten,0.007874015748031496,0.05000000000000001,6.350000000000001
41,180_4500,0,0,180,4500,2018,Kärnten,,0.0,0.0
42,180_2200,2732,0,180,2200,2018,Kärnten,0.0,0.0,27.320000000000004
43,45_3500,18,5,45,3500,2018,Kärnten,0.2777777777777778,0.05000000000000001,0.18000000000000005
44,135_3700,1,0,135,3700,2018,Kärnten,0.0,0.0,0.010000000000000002
45,0_1700,4700,0,0,1700,2018,Kärnten,0.0,0.0,47.00000000000001
46,90_3500,13,9,90,3500,2018,Kärnten,0.6923076923076923,0.09000000000000002,0.13000000000000003
47,0_3200,51,19,0,3200,2018,Kärnten,0.37254901960784315,0.19000000000000003,0.5100000000000001
48,45_2300,1549,0,45,2300,2018,Kärnten,0.0,0.0,15.490000000000004
49,315_3400,2,0,315,3400,2018,Kärnten,0.0,0.0,0.020000000000000004
50,270_3600,1,0,270,3600,2018,Kärnten,0.0,0.0,0.010000000000000002
51,225_2000,3105,0,225,2000,2018,Kärnten,0.0,0.0,31.050000000000004
52,315_1900,3158,0,315,1900,2018,Kärnten,0.0,0.0,31.580000000000005
53,45_2700,706,3,45,2700,2018,Kärnten,0.00424929178470255,0.030000000000000006,7.060000000000001
54,225_1900,3536,0,225,1900,2018,Kärnten,0.0,0.0,35.36000000000001
55,135_2800,565,20,135,2800,2018,Kärnten,0.035398230088495575,0.20000000000000004,5.650000000000001
56,180_3600,5,2,180,3600,2018,Kärnten,0.4,0.020000000000000004,0.05000000000000001
57,0_2700,558,2,0,2700,2018,Kärnten,0.0035842293906810036,0.020000000000000004,5.580000000000001
58,135_2000,3474,0,135,2000,2018,Kärnten,0.0,0.0,34.74000000000001
59,90_2800,487,18,90,2800,2018,Kärnten,0.03696098562628337,0.18000000000000005,4.870000000000001
60,270_2700,636,2,270,2700,2018,Kärnten,0.0031446540880503146,0.020000000000000004,6.360000000000001
61,315_4000,0,0,315,4000,2018,Kärnten,,0.0,0.0
62,90_2000,2976,0,90,2000,2018,Kärnten,0.0,0.0,29.760000000000005
63,315_2500,916,0,315,2500,2018,Kärnten,0.0,0.0,9.160000000000002
64,45_3000,238,60,45,3000,2018,Kärnten,0.25210084033613445,0.6000000000000001,2.3800000000000003
65,225_3400,6,1,225,3400,2018,Kärnten,0.16666666666666666,0.010000000000000002,0.06000000000000001
66,180_4000,0,0,180,4000,2018,Kärnten,,0.0,0.0
67,45_1500,90789,0,45,1500,2018,Kärnten,0.0,0.0,907.8900000000002
68,45_3800,0,0,45,3800,2018,Kärnten,,0.0,0.0
69,135_1700,4685,0,135,1700,2018,Kärnten,0.0,0.0,46.85000000000001
70,180_2500,1732,0,180,2500,2018,Kärnten,0.0,0.0,17.320000000000004
71,0_1600,5506,0,0,1600,2018,Kärnten,0.0,0.0,55.06000000000001
72,0_3900,0,0,0,3900,2018,Kärnten,,0.0,0.0
73,135_3200,84,55,135,3200,2018,Kärnten,0.6547619047619048,0.5500000000000002,0.8400000000000002
74,270_1600,4331,0,270,1600,2018,Kärnten,0.0,0.0,43.31000000000001
75,90_1700,4184,0,90,1700,2018,Kärnten,0.0,0.0,41.84000000000001
76,0_3100,78,19,0,3100,2018,Kärnten,0.24358974358974358,0.19000000000000003,0.7800000000000001
77,270_3900,0,0,270,3900,2018,Kärnten,,0.0,0.0
78,90_3200,127,61,90,3200,2018,Kärnten,0.48031496062992124,0.6100000000000001,1.2700000000000002
79,315_3700,0,0,315,3700,2018,Kärnten,,0.0,0.0
80,225_2300,1871,0,225,2300,2018,Kärnten,0.0,0.0,18.710000000000004
81,270_3100,63,5,270,3100,2018,Kärnten,0.07936507936507936,0.05000000000000001,0.6300000000000001
82,225_1800,4305,0,225,1800,2018,Kärnten,0.0,0.0,43.05000000000001
83,45_2600,842,1,45,2600,2018,Kärnten,0.0011876484560570072,0.010000000000000002,8.420000000000002
84,0_2600,748,0,0,2600,2018,Kärnten,0.0,0.0,7.480000000000001
85,180_3500,5,3,180,3500,2018,Kärnten,0.6,0.030000000000000006,0.05000000000000001
86,135_2700,860,5,135,2700,2018,Kärnten,0.005813953488372093,0.05000000000000001,8.600000000000001
87,90_2900,341,45,90,2900,2018,Kärnten,0.13196480938416422,0.45000000000000007,3.4100000000000006
88,270_2600,903,0,270,2600,2018,Kärnten,0.0,0.0,9.030000000000001
89,90_2100,2464,0,90,2100,2018,Kärnten,0.0,0.0,24.640000000000004
90,315_2400,1185,0,315,2400,2018,Kärnten,0.0,0.0,11.850000000000001
91,225_3300,35,6,225,3300,2018,Kärnten,0.17142857142857143,0.06000000000000001,0.3500000000000001
92,45_3700,3,0,45,3700,2018,Kärnten,0.0,0.0,0.030000000000000006
