,persistent_snow_B0_min,persistent_snow_B0_max,persistent_snow_B0_mean,persistent_snow_B0_stDev,persistent_snow_B0_sampleCount,persistent_snow_B0_noDataCount,interval_from,interval_to,identifier
0,0.0,1.0,0.002440187742075047,0.04933794914524176,1437780,479657,2017-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,Kärnten
1,0.0,1.0,0.0018429890234663673,0.042890469977906145,1437780,479554,2018-01-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,Kärnten
2,0.0,1.0,0.002960679422182089,0.054331517552351605,1437780,479554,2019-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,Kärnten
3,0.0,1.0,0.0027343790767817237,0.05221974959578244,1437780,479610,2020-01-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,Kärnten
4,0.0,1.0,0.003189226758614446,0.05638311441643147,1437780,479554,2021-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,Kärnten
0,0.0,1.0,0.010608793269446325,0.10245119215905957,2639168,1368901,2017-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,Tirol
1,0.0,1.0,0.00924794796150044,0.09572054857762548,2639168,1368724,2018-01-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,Tirol
2,0.0,1.0,0.015007591158838393,0.12158274288091808,2639168,1368611,2019-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,Tirol
3,0.0,1.0,0.014773835412342326,0.12064646368440114,2639168,1368611,2020-01-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,Tirol
4,0.0,1.0,0.015735618315431653,0.12445082816784911,2639168,1368611,2021-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,Tirol
0,0.0,0.0,0.0,0.0,69434,27099,2017-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,Wien
1,0.0,0.0,0.0,0.0,69434,27099,2018-01-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,Wien
2,0.0,0.0,0.0,0.0,69434,27099,2019-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,Wien
3,0.0,0.0,0.0,0.0,69434,27099,2020-01-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,Wien
4,0.0,0.0,0.0,0.0,69434,27099,2021-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,Wien
0,0.0,0.0,0.0,0.0,3308166,1382299,2017-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,Niederösterreich
1,0.0,0.0,0.0,0.0,3308166,1382299,2018-01-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,Niederösterreich
2,0.0,1.0,5.192466561813509e-07,0.0007205875287321153,3308166,1382299,2019-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,Niederösterreich
3,0.0,1.0,5.19248543507852e-07,0.0007205888383043327,3308166,1382306,2020-01-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,Niederösterreich
4,0.0,1.0,5.19246656181344e-07,0.0007205875287321155,3308166,1382299,2021-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,Niederösterreich
0,0.0,1.0,0.00014630395477877763,0.012094732321618111,2420877,1217902,2017-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,Oberösterreich
1,0.0,1.0,8.312724703339623e-05,0.009117035532134176,2420877,1217902,2018-01-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,Oberösterreich
2,0.0,1.0,0.00029094536461688695,0.017054639117017274,2420877,1217902,2019-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,Oberösterreich
3,0.0,1.0,0.00019784284793948327,0.014064270551543105,2420877,1217902,2020-01-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,Oberösterreich
