,class,count,sum,aspect,elevation_below,year,percent_snow_cover,km2_snow,km2_all
0,225_1700,5538,0,225,1700,2017,0.0,0.0,55.38000000000001
1,45_2500,4676,11,45,2500,2017,0.0023524379811804,0.11,46.76000000000001
2,180_3400,166,37,180,3400,2017,0.2228915662650602,0.37,1.6600000000000004
3,135_2600,3802,6,135,2600,2017,0.0015781167806417,0.06,38.02000000000001
4,0_2900,2531,322,0,2900,2017,0.1272224417226392,3.2200000000000006,25.31000000000001
5,180_1900,6190,0,180,1900,2017,0.0,0.0,61.90000000000001
6,0_2100,6027,2,0,2100,2017,0.0003318400530944,0.02,60.27000000000001
7,90_2200,6087,1,90,2200,2017,0.0001642845408247,0.01,60.87000000000001
8,90_4500,0,0,90,4500,2017,,0.0,0.0
9,315_2300,6179,4,315,2300,2017,0.0006473539407671,0.04,61.79000000000001
10,270_2500,5218,3,270,2500,2017,0.0005749329244921,0.03,52.18000000000001
11,225_3200,634,79,225,3200,2017,0.1246056782334384,0.7900000000000001,6.340000000000002
12,270_4000,0,0,270,4000,2017,,0.0,0.0
13,225_2900,1838,27,225,2900,2017,0.014689880304679,0.2700000000000001,18.380000000000003
14,180_2300,4910,2,180,2300,2017,0.00040733197556,0.02,49.10000000000001
15,45_3600,9,5,45,3600,2017,0.5555555555555556,0.05,0.09
16,135_1500,59259,0,135,1500,2017,0.0,0.0,592.5900000000001
17,135_3800,1,0,135,3800,2017,0.0,0.0,0.01
18,0_1800,6962,0,0,1800,2017,0.0,0.0,69.62000000000002
19,90_1900,6982,0,90,1900,2017,0.0,0.0,69.82000000000001
20,135_3000,1384,53,135,3000,2017,0.0382947976878612,0.5300000000000001,13.840000000000003
21,0_3300,586,241,0,3300,2017,0.4112627986348123,2.4100000000000006,5.860000000000001
22,270_3700,5,1,270,3700,2017,0.2,0.01,0.05
23,90_3400,206,103,90,3400,2017,0.5,1.0300000000000002,2.0600000000000005
24,315_3500,72,40,315,3500,2017,0.5555555555555556,0.4000000000000001,0.7200000000000002
25,225_2100,4810,2,225,2100,2017,0.0004158004158004,0.02,48.10000000000001
26,225_3900,0,0,225,3900,2017,,0.0,0.0
27,45_2400,4792,7,45,2400,2017,0.0014607679465776,0.07,47.92000000000001
28,180_3300,429,94,180,3300,2017,0.2191142191142191,0.9400000000000002,4.290000000000001
29,180_1800,6640,0,180,1800,2017,0.0,0.0,66.40000000000002
30,0_2800,3238,173,0,2800,2017,0.0534280420012353,1.7300000000000004,32.38000000000001
31,135_4000,0,0,135,4000,2017,,0.0,0.0
32,135_2500,4361,4,135,2500,2017,0.0009172208209126,0.04,43.61000000000001
33,0_2000,6474,7,0,2000,2017,0.0010812480691998,0.07,64.74000000000001
34,90_2300,5643,4,90,2300,2017,0.0007088428141059,0.04,56.430000000000014
35,315_2200,6775,0,315,2200,2017,0.0,0.0,67.75000000000001
36,315_4500,0,0,315,4500,2017,,0.0,0.0
37,270_2400,5870,4,270,2400,2017,0.0006814310051107,0.04,58.70000000000001
38,225_1600,5779,0,225,1600,2017,0.0,0.0,57.79000000000001
39,225_3100,1007,108,225,3100,2017,0.1072492552135054,1.0800000000000003,10.070000000000002
40,225_2800,2465,10,225,2800,2017,0.0040567951318458,0.1,24.65000000000001
41,180_4500,0,0,180,4500,2017,,0.0,0.0
42,180_2200,5159,0,180,2200,2017,0.0,0.0,51.59000000000001
43,45_3500,63,27,45,3500,2017,0.4285714285714285,0.2700000000000001,0.6300000000000001
44,135_3700,5,4,135,3700,2017,0.8,0.04,0.05
45,0_1700,7320,0,0,1700,2017,0.0,0.0,73.20000000000002
46,90_3500,64,29,90,3500,2017,0.453125,0.29,0.6400000000000001
47,0_3200,1035,406,0,3200,2017,0.3922705314009662,4.0600000000000005,10.35
48,45_2300,5331,4,45,2300,2017,0.0007503282686175,0.04,53.31000000000001
49,315_3400,228,98,315,3400,2017,0.4298245614035088,0.9800000000000002,2.28
50,270_3600,6,3,270,3600,2017,0.5,0.03,0.06
51,225_2000,4969,2,225,2000,2017,0.0004024954719259,0.02,49.69000000000001
52,315_1900,7684,1,315,1900,2017,0.0001301405517959,0.01,76.84000000000002
53,45_2700,3600,65,45,2700,2017,0.0180555555555555,0.6500000000000001,36.00000000000001
54,225_1900,5318,0,225,1900,2017,0.0,0.0,53.18000000000001
55,135_2800,2477,14,135,2800,2017,0.0056519983851433,0.14,24.770000000000003
56,180_3600,14,2,180,3600,2017,0.1428571428571428,0.02,0.14
57,0_2700,3882,88,0,2700,2017,0.0226687274600721,0.8800000000000001,38.82000000000001
58,135_2000,6408,2,135,2000,2017,0.0003121098626716,0.02,64.08000000000001
59,90_2800,2628,26,90,2800,2017,0.0098934550989345,0.26,26.280000000000005
60,270_2700,3510,37,270,2700,2017,0.0105413105413105,0.37,35.10000000000001
61,315_4000,0,0,315,4000,2017,,0.0,0.0
62,90_2000,6674,3,90,2000,2017,0.0004495055439017,0.03,66.74000000000001
63,315_2500,4876,5,315,2500,2017,0.0010254306808859,0.05,48.76000000000001
64,45_3000,1749,301,45,3000,2017,0.1720983419096626,3.0100000000000007,17.490000000000002
