,class,wet,count,dry,aspect,elevation_below,year_month,season,percent_wet,km2_wet,km2_dry,km2_all,year,month
0,180_3000,24,11089,30,180,3000,2017-08,2017,0.4444444444444444,0.24000000000000005,0.30000000000000004,110.89000000000001,2017,08
1,45_2500,2,26276,0,45,2500,2017-08,2017,1.0,0.020000000000000004,0.0,262.76000000000005,2017,08
2,0_2500,3,26644,2,0,2500,2017-08,2017,0.6,0.030000000000000006,0.020000000000000004,266.44000000000005,2017,08
3,180_1500,0,60409,0,180,1500,2017-08,2017,,0.0,0.0,604.0900000000001,2017,08
4,135_2000,0,35129,0,135,2000,2017-08,2017,,0.0,0.0,351.2900000000001,2017,08
5,0_4000,13,20,0,0,4000,2017-08,2017,1.0,0.13000000000000003,0.0,0.20000000000000004,2017,08
6,225_3000,19,12675,34,225,3000,2017-08,2017,0.3584905660377358,0.19000000000000003,0.3400000000000001,126.75000000000003,2017,08
7,315_4000,9,25,1,315,4000,2017-08,2017,0.9,0.09000000000000002,0.010000000000000002,0.25000000000000006,2017,08
8,135_4500,0,0,0,135,4500,2017-08,2017,,0.0,0.0,0.0,2017,08
9,90_4500,0,0,0,90,4500,2017-08,2017,,0.0,0.0,0.0,2017,08
10,225_1500,0,46051,0,225,1500,2017-08,2017,,0.0,0.0,460.5100000000001,2017,08
11,90_2000,0,34105,0,90,2000,2017-08,2017,,0.0,0.0,341.05000000000007,2017,08
12,270_2500,0,30397,0,270,2500,2017-08,2017,,0.0,0.0,303.9700000000001,2017,08
13,315_2500,2,30520,0,315,2500,2017-08,2017,1.0,0.020000000000000004,0.0,305.20000000000005,2017,08
14,45_3000,579,14562,259,45,3000,2017-08,2017,0.6909307875894988,5.790000000000001,2.5900000000000003,145.62000000000003,2017,08
15,270_4000,5,15,1,270,4000,2017-08,2017,0.8333333333333334,0.05000000000000001,0.010000000000000002,0.15000000000000002,2017,08
16,180_4000,1,14,0,180,4000,2017-08,2017,1.0,0.010000000000000002,0.0,0.14,2017,08
17,45_1500,0,51376,0,45,1500,2017-08,2017,,0.0,0.0,513.7600000000001,2017,08
18,180_2500,0,23532,0,180,2500,2017-08,2017,,0.0,0.0,235.32000000000005,2017,08
19,135_1500,0,59707,0,135,1500,2017-08,2017,,0.0,0.0,597.0700000000002,2017,08
20,0_3500,1481,3387,119,0,3500,2017-08,2017,0.925625,14.810000000000002,1.1900000000000002,33.870000000000005,2017,08
21,225_4000,1,9,0,225,4000,2017-08,2017,1.0,0.010000000000000002,0.0,0.09000000000000002,2017,08
22,90_1500,0,49408,0,90,1500,2017-08,2017,,0.0,0.0,494.0800000000001,2017,08
23,135_3000,31,12382,33,135,3000,2017-08,2017,0.484375,0.31000000000000005,0.33000000000000007,123.82000000000002,2017,08
24,45_4500,0,0,0,45,4500,2017-08,2017,,0.0,0.0,0.0,2017,08
25,225_2500,0,22701,0,225,2500,2017-08,2017,,0.0,0.0,227.01000000000005,2017,08
26,270_3500,640,2746,112,270,3500,2017-08,2017,0.851063829787234,6.400000000000001,1.12,27.460000000000004,2017,08
27,315_3500,1149,3532,168,315,3500,2017-08,2017,0.8724373576309795,11.490000000000002,1.6800000000000004,35.32000000000001,2017,08
28,45_2000,0,32185,0,45,2000,2017-08,2017,,0.0,0.0,321.8500000000001,2017,08
29,90_3000,98,13201,128,90,3000,2017-08,2017,0.4336283185840708,0.9800000000000002,1.2800000000000002,132.01000000000002,2017,08
